violation_id,timestamp,lat,lon,violation_type,severity,description,source
V020,2026-02-16T15:30:00,13.0827,80.2707,water_pollution,3,Paint factory effluent in stream,field_inspection
V021,2026-02-19T08:00:00,15.2993,74.124,noise,2,Late night party noise,complaint
V022,2026-02-18T16:00:00,23.2599,77.4126,illegal_dumping,4,Plastic waste near lake,field_inspection
V023,2026-02-17T10:30:00,11.0168,76.9558,industrial_emission,3,Textile dyeing unit fumes,sensor_alert
V024,2026-02-16T12:00:00,9.9312,76.2673,water_pollution,5,Fish farm chemical discharge,resident_report
V025,2026-02-19T14:00:00,31.104,77.1734,noise,2,Mining blasting noise,complaint
V026,2026-02-18T07:00:00,20.2961,85.8245,illegal_dumping,4,Slaughterhouse waste in drain,field_inspection
V027,2026-02-17T13:45:00,25.5941,85.1376,industrial_emission,5,Rice mill emissions near village,sensor_alert
V028,2026-02-16T09:30:00,26.449,80.3319,water_pollution,4,Leather factory waste in river,field_inspection
V029,2026-02-15T11:00:00,21.1458,79.0882,noise,3,Firecrackers beyond 10PM,complaint
V030,2026-02-19T16:00:00,19.2183,72.9781,illegal_dumping,5,Construction debris on mangroves,drone_survey
V031,2026-02-18T08:00:00,18.5204,73.8567,water_pollution,4,Chemical spill near river,sensor_alert
V032,2026-02-17T15:00:00,28.6139,77.209,illegal_dumping,3,Garbage dumped in park,complaint
V033,2026-02-19T09:00:00,22.7196,75.8577,industrial_emission,4,Pharma factory gas leak,sensor_alert
V034,2026-02-18T11:00:00,26.85,80.949,illegal_dumping,3,Debris near highway,field_inspection
V035,2026-02-17T14:00:00,12.2958,76.6394,noise,2,Temple loudspeaker complaint,complaint
V036,2026-02-16T16:30:00,10.7905,78.7047,water_pollution,4,Sugar factory effluent,field_inspection
V037,2026-02-15T12:00:00,24.5854,73.7125,industrial_emission,3,Marble cutting dust,sensor_alert
V038,2026-02-19T13:00:00,19.9975,73.7898,illegal_dumping,4,Hazardous waste near farmland,drone_survey
V039,2026-02-18T09:00:00,16.5062,80.648,water_pollution,5,Pesticide runoff in canal,sensor_alert
V040,2026-02-17T07:30:00,27.1767,78.0081,noise,2,Marriage function noise,complaint
V041,2026-02-18T12:00:00,19.08775,72.881522,illegal_dumping,3,Solid waste dumped in unauthorized open area,complaint
V042,2026-02-18T12:40:00,12.99888,77.611569,industrial_emission,4,Visible emissions exceeding permissible levels,complaint
V043,2026-02-18T13:20:00,26.124244,91.725202,noise,5,Continuous high-decibel activity beyond limits,complaint
V044,2026-02-18T14:00:00,18.491861,73.85135,noise,2,Continuous high-decibel activity beyond limits,field_inspection
V045,2026-02-18T14:40:00,23.278878,77.422198,noise,3,Continuous high-decibel activity beyond limits,drone_survey
V046,2026-02-18T15:20:00,20.310497,85.828763,illegal_dumping,2,Solid waste dumped in unauthorized open area,sensor_alert
V047,2026-02-18T16:00:00,20.263622,85.815345,open_burning,3,Open burning of mixed waste detected,drone_survey
V048,2026-02-18T16:40:00,17.352928,78.477226,illegal_dumping,4,Solid waste dumped in unauthorized open area,sensor_alert
V049,2026-02-18T17:20:00,23.034185,72.561158,open_burning,5,Open burning of mixed waste detected,resident_report
V050,2026-02-18T18:00:00,17.414803,78.468272,industrial_emission,3,Visible emissions exceeding permissible levels,drone_survey
V051,2026-02-18T18:40:00,19.053555,72.907414,sewage_release,3,Untreated wastewater discharge into drain,complaint
V052,2026-02-18T19:20:00,13.102816,80.243267,illegal_dumping,5,Solid waste dumped in unauthorized open area,sensor_alert
V053,2026-02-18T20:00:00,22.594761,88.361121,noise,3,Continuous high-decibel activity beyond limits,sensor_alert
V054,2026-02-18T20:40:00,19.087202,72.870593,noise,2,Continuous high-decibel activity beyond limits,complaint
V055,2026-02-18T21:20:00,22.729504,75.850677,open_burning,4,Open burning of mixed waste detected,field_inspection
V056,2026-02-18T22:00:00,12.997993,77.577885,open_burning,4,Open burning of mixed waste detected,field_inspection
V057,2026-02-18T22:40:00,12.97836,77.583798,noise,5,Continuous high-decibel activity beyond limits,resident_report
V058,2026-02-18T23:20:00,23.317195,85.337565,industrial_emission,4,Visible emissions exceeding permissible levels,field_inspection
V059,2026-02-19T00:00:00,21.135318,72.86089,open_burning,3,Open burning of mixed waste detected,complaint
V060,2026-02-19T00:40:00,21.140098,72.842597,noise,4,Continuous high-decibel activity beyond limits,field_inspection
V061,2026-02-19T01:20:00,26.847199,80.957883,noise,5,Continuous high-decibel activity beyond limits,complaint
V062,2026-02-19T02:00:00,20.27001,85.818931,sewage_release,3,Untreated wastewater discharge into drain,resident_report
V063,2026-02-19T02:40:00,9.917266,76.270656,illegal_dumping,4,Solid waste dumped in unauthorized open area,complaint
V064,2026-02-19T03:20:00,22.567692,88.369499,noise,5,Continuous high-decibel activity beyond limits,drone_survey
V065,2026-02-19T04:00:00,26.462194,80.332682,industrial_emission,2,Visible emissions exceeding permissible levels,complaint
